"season_year","home_team","away_team","winning"
2011,"SF","ARI",1
2011,"STL","SEA",-1
2011,"DET","CAR",1
2011,"GB","TB",1
2011,"BAL","CIN",1
2011,"WAS","DAL",-1
2011,"MIA","BUF",1
2011,"CLE","JAC",1
2011,"MIN","OAK",-1
2011,"ATL","TEN",1
2009,"GB","CIN",-1
2009,"JAC","ARI",-1
2009,"ATL","CAR",1
2009,"DET","MIN",-1
2009,"PHI","NO",-1
2009,"TEN","HOU",-1
2009,"KC","OAK",-1
2009,"NYJ","NE",1
2009,"WAS","STL",1
2009,"BUF","TB",1
2012,"CIN","PIT",-1
2010,"ATL","NO",-1
2011,"SD","DEN",-1
2011,"KC","PIT",-1
2009,"ATL","NO",-1
2009,"BAL","DET",1
2009,"IND","DEN",1
2009,"JAC","MIA",-1
2009,"KC","BUF",-1
2009,"MIN","CIN",1
2009,"NE","CAR",1
2009,"TB","NYJ",-1
2012,"SD","KC",1
2009,"NO","ATL",1
2009,"BUF","NYJ",-1
2011,"CHI","ATL",1
2011,"KC","BUF",-1
2011,"STL","PHI",-1
2011,"TB","DET",-1
2011,"CLE","CIN",-1
2011,"BAL","PIT",1
2011,"JAC","TEN",1
2011,"HOU","IND",1
2011,"ARI","CAR",1
2011,"WAS","NYG",1
2009,"NO","DAL",-1
2009,"NYG","PHI",-1
2012,"TEN","PIT",1
2010,"SF","DEN",1
2010,"DAL","JAC",-1
2010,"CIN","MIA",-1
2010,"KC","BUF",1
2010,"DET","WAS",1
2010,"STL","CAR",1
2010,"NYJ","GB",-1
2010,"SD","TEN",1
2010,"NE","MIN",1
2010,"ARI","TB",-1
2010,"CAR","SF",1
2010,"TB","STL",1
2010,"NO","CLE",-1
2010,"CHI","WAS",-1
2010,"BAL","BUF",1
2010,"KC","JAC",1
2010,"ATL","CIN",1
2010,"MIA","PIT",-1
2010,"TEN","PHI",1
2010,"SEA","ARI",1
2010,"TB","DET",-1
2010,"BAL","NO",1
2010,"DAL","WAS",1
2010,"MIA","BUF",-1
2010,"CIN","CLE",1
2010,"IND","JAC",1
2010,"TB","PIT",-1
2010,"NE","BUF",1
2010,"NYG","TEN",-1
2010,"CAR","CIN",-1
2010,"NO","ATL",-1
2010,"STL","WAS",1
2010,"BAL","CLE",1
2010,"MIN","DET",1
2010,"HOU","DAL",-1
2010,"KC","SF",1
2010,"GB","DAL",1
2010,"OAK","KC",1
2009,"WAS","NYG",-1
2011,"NYG","PHI",-1
2011,"CHI","SD",1
2011,"DET","SF",-1
2009,"NE","JAC",1
2011,"GB","STL",1
2009,"CHI","PIT",1
2009,"SF","SEA",1
2009,"SD","BAL",-1
2009,"DEN","CLE",1
2009,"DAL","NYG",-1
2009,"CIN","KC",1
2012,"HOU","BAL",1
2012,"STL","GB",-1
2012,"BUF","TEN",-1
2012,"IND","CLE",1
2012,"MIN","ARI",1
2012,"NYG","WAS",1
2012,"TB","NO",-1
2012,"CAR","DAL",-1
2012,"OAK","JAC",1
2012,"NE","NYJ",1
2011,"CIN","CLE",1
2011,"NYJ","BUF",1
2011,"ATL","MIN",1
2011,"JAC","HOU",-1
2011,"IND","CAR",-1
2011,"STL","ARI",-1
2011,"SEA","WAS",-1
2011,"TEN","TB",1
2011,"PHI","NE",-1
2011,"OAK","CHI",1
2012,"GB","CHI",1
2009,"DAL","SD",-1
2009,"OAK","WAS",-1
2009,"TEN","STL",1
