"player_id","team_2009","team_2010","team_2011","team_2012"
27022,"HOU","","HOU","HOU"
25945,"MIN","MIN","MIN","MIN"
30451,"","","",""
22077,"OAK","OAK","PHI","PHI"
27747,"","","TEN","TEN"
28287,"","","BAL",""
23569,"GB","NO","OAK","OAK"
29165,"","","",""
23998,"SD","SD","SD","NE"
22897,"JAC","JAC","JAC","JAC"
25406,"TEN","TEN","TEN","TEN"
22894,"","SF","SD",""
25992,"IND","","",""
19536,"CIN","NYG","MIA","HOU"
28030,"","","","STL"
28237,"","","",""
21997,"DET","","",""
25540,"NYG","NYG","OAK","KC"
29255,"","","","SEA"
25389,"DET","DET","DET","DET"
28173,"","","MIA","MIA"
27417,"","DAL","DAL",""
22750,"BAL","BUF","BUF","CAR"
24269,"HOU","HOU","BAL","BAL"
25390,"CLE","CLE","CLE","CLE"
25487,"OAK","OAK","OAK","CHI"
28824,"","","NYJ","TEN"
865,"PIT","PIT","PIT","PIT"
28664,"","","DAL","DAL"
29239,"","","","NE"
23982,"STL","","",""
26662,"NYJ","NYJ","NYJ","IND"
27043,"DAL","DAL","CAR","CAR"
30000,"","","",""
20679,"SF","DET","DET","DET"
26652,"","NYJ","",""
27350,"","ARI","ARI","MIN"
29291,"","","","GB"
25780,"SEA","","",""
26310,"KC","KC","KC","STL"
29285,"","","","CAR"
22821,"ATL","ATL","ATL","ATL"
27943,"","","ARI","ARI"
28014,"","","JAC",""
30090,"","","",""
20653,"DET","","",""
29324,"","","","KC"
29699,"","","","OAK"
29424,"","","","PHI"
21216,"PHI","SF","",""
25932,"ARI","","",""
26061,"SD","SD","SD",""
28841,"","","","PIT"
17638,"DEN","KC","KC",""
29689,"","","","IND"
23516,"STL","MIA","MIA","MIA"
27152,"DET","DET","",""
30117,"","","",""
24812,"","KC","KC",""
25424,"SD","SD","SD","SD"
29630,"","","","STL"
21332,"TB","TB","",""
20804,"BUF","BUF","BUF","BUF"
11641,"ARI","","",""
26293,"NE","NE","NE","NE"
11970,"SF","SF","",""
27730,"","ARI","ARI","ARI"
27804,"","BUF","",""
29632,"","","","CIN"
29945,"","","",""
19546,"ATL","ATL","ATL","ATL"
26396,"CIN","","",""
27224,"","HOU","","HOU"
30516,"","","",""
26597,"","MIA","",""
19695,"DET","DET","",""
30405,"","","",""
26264,"WAS","IND","NYG","NYG"
27769,"","STL","JAC",""
26290,"","","SEA","SEA"
27437,"","","STL",""
26262,"DAL","DAL","WAS","BUF"
29959,"","","",""
3292,"TEN","TEN","IND",""
21231,"JAC","JAC","",""
28009,"","","DAL","DAL"
29195,"","","","TEN"
27741,"","","KC",""
25553,"JAC","CAR","PHI","PHI"
20267,"DET","DET","JAC","DET"
22101,"ARI","CAR","",""
22771,"TEN","TEN","TEN",""
26215,"SF","SF","SF",""
28168,"","","","ATL"
20446,"SD","KC","",""
23674,"SD","","SD",""
23473,"OAK","OAK","OAK","KC"
23537,"JAC","JAC","CAR","BAL"
24745,"CAR","CAR","",""
27764,"","","ATL",""
22863,"SF","SF","SF","SF"
27120,"TEN","TEN","TEN","TEN"
23531,"SF","","",""
29267,"","","","NYG"
21230,"TEN","","",""
28400,"","","","MIA"
23774,"MIN","MIN","",""
27842,"","OAK","IND","NYG"
26942,"ATL","ATL","ATL","ATL"
27679,"","","","JAC"
30228,"","","",""
22901,"JAC","JAC","",""
28074,"","","ARI","ARI"
27018,"BUF","BUF","BUF","BUF"
24058,"","","JAC","JAC"
21126,"TEN","TEN","TEN",""
26246,"","BAL","",""
26926,"","","",""
24312,"NYJ","NYJ","NYJ","NYJ"
27445,"","MIA","MIA",""
22730,"CHI","","",""
27699,"","","","ATL"
